*1000Hz	-38.2
	
20.00	-5.0
20.55	-4.6
21.11	-4.3
21.69	-3.9
22.29	-3.6
22.90	-3.3
23.53	-3.0
24.18	-2.8
24.84	-2.6
25.52	-2.5
26.22	-2.4
26.94	-2.3
27.68	-2.3
28.44	-2.2
29.22	-2.2
30.03	-2.1
30.85	-2.1
31.70	-2.0
32.57	-2.0
33.46	-1.9
34.38	-1.8
35.33	-1.7
36.30	-1.6
37.29	-1.5
38.32	-1.4
39.37	-1.3
40.45	-1.2
41.56	-1.1
42.70	-0.9
43.87	-0.8
45.08	-0.7
46.32	-0.6
47.59	-0.6
48.90	-0.5
50.24	-0.4
51.62	-0.4
53.03	-0.4
54.49	-0.4
55.99	-0.4
57.52	-0.4
59.10	-0.4
60.73	-0.4
62.39	-0.4
64.11	-0.4
65.87	-0.4
67.68	-0.3
69.54	-0.3
71.44	-0.2
73.41	-0.2
75.42	-0.1
77.49	-0.1
79.62	0.0
81.81	0.1
84.05	0.1
86.36	0.2
88.73	0.2
91.17	0.2
93.67	0.3
96.25	0.3
98.89	0.4
101.60	0.4
104.39	0.4
107.26	0.3
110.21	0.2
113.23	0.2
116.34	0.1
119.54	0.1
122.82	0.1
126.19	0.1
129.66	0.1
133.22	0.1
136.87	0.1
140.63	0.1
144.50	0.1
148.46	0.0
152.54	0.0
156.73	0.0
161.03	0.0
165.45	0.0
170.00	0.0
174.67	0.0
179.46	0.0
184.39	0.0
189.45	0.0
194.65	0.0
200.00	0.0
205.49	-0.1
211.13	-0.2
216.93	-0.3
222.89	-0.4
229.01	-0.5
235.30	-0.6
241.76	-0.7
248.40	-0.8
255.22	-1.0
262.23	-1.2
269.43	-1.4
276.83	-1.5
284.43	-1.4
292.24	-1.2
300.26	-0.8
308.51	-0.3
316.98	0.1
325.68	0.5
334.63	0.7
343.81	0.7
353.26	0.7
362.96	0.8
372.92	0.8
383.16	1.0
393.68	1.1
404.49	1.1
415.60	1.0
427.01	0.8
438.74	0.6
450.79	0.5
463.17	0.3
475.88	0.0
488.95	-0.4
502.38	-0.7
516.17	-0.3
530.35	-0.1
544.91	-0.2
559.87	-0.3
575.25	-0.4
591.04	-0.2
607.27	-0.1
623.95	0.1
641.08	0.3
658.68	0.4
676.77	0.5
695.35	0.5
714.45	0.5
734.07	0.3
754.22	0.2
774.94	0.0
796.21	-0.1
818.08	-0.2
840.54	-0.3
863.62	-0.3
887.34	-0.3
911.70	-0.2
936.74	-0.1
962.46	0.0
988.89	0.0
1016.04	0.0
1043.94	-0.1
1072.61	-0.1
1102.06	-0.1
1132.33	-0.1
1163.42	-0.1
1195.37	-0.2
1228.19	-0.3
1261.91	-0.3
1296.57	-0.4
1332.17	-0.4
1368.75	-0.5
1406.34	-0.6
1444.95	-0.7
1484.63	-0.8
1525.40	-1.0
1567.28	-1.1
1610.32	-1.1
1654.54	-1.2
1699.97	-1.2
1746.65	-1.3
1794.61	-1.2
1843.89	-1.1
1894.53	-1.0
1946.55	-0.9
2000.00	-0.7
2054.92	-0.6
2111.35	-0.3
2169.32	0.0
2228.89	0.2
2290.10	0.3
2352.98	0.3
2417.59	0.3
2483.98	0.3
2552.19	0.4
2622.27	0.4
2694.27	0.3
2768.26	0.2
2844.27	0.2
2922.37	0.3
3002.62	0.3
3085.07	0.3
3169.79	0.2
3256.83	0.2
3346.26	0.2
3438.14	0.2
3532.55	0.1
3629.56	0.0
3729.22	-0.1
3831.62	-0.3
3936.84	-0.4
4044.94	-0.5
4156.01	-0.6
4270.14	-0.6
4387.39	-0.6
4507.87	-0.6
4631.65	-0.7
4758.83	-0.8
4889.51	-0.8
5023.77	-0.9
5161.72	-1.0
5303.46	-1.0
5449.09	-0.9
5598.72	-0.9
5752.46	-0.9
5910.42	-1.1
6072.72	-1.3
6239.47	-1.4
6410.80	-1.2
6586.84	-0.5
6767.71	0.3
6953.55	0.9
7144.49	1.3
7340.67	1.5
7542.24	1.9
7749.35	2.2
7962.14	2.2
8180.78	1.8
8405.42	1.4
8636.23	0.9
8873.37	0.5
9117.03	0.4
9367.38	1.3
9624.61	1.8
9888.89	1.2
10160.44	0.1
10439.44	0.0
10726.10	0.8
11020.63	1.4
11323.25	1.5
11634.18	1.0
11953.65	0.6
12281.89	0.3
12619.15	0.3
12965.66	1.0
13321.69	1.3
13687.50	0.9
14063.35	0.6
14449.52	0.6
14846.30	0.8
15253.97	0.5
15672.84	0.0
16103.21	-0.7
16545.39	-0.6
16999.72	-0.1
17466.52	-0.3
17946.14	-0.6
18438.94	-0.4
18945.26	0.9
19465.49	1.4
20000.00	1.6
